device_id,device_name,aliases,implant_class,target_tissue,status,first_human_year,key_papers,trial_ids,notes
BTSD-VIS-RET-0001,Argus II Retinal Prosthesis System,Second Sight Argus II,retinal (epiretinal),retinal ganglion cell layer / epiretinal surface,discontinued (commercial); implanted in humans,~2006 (feasibility era),"Ho et al. 2015 (3-year results, PMC4516690); da Cruz et al. 2016 (5-year results, Ophthalmology)",NCT00407602 (feasibility); NCT02227498 (dry AMD feasibility),FDA HDE approval for RP; major epiretinal platform.
BTSD-VIS-RET-0002,Argus I Retinal Prosthesis (prototype),Second Sight Argus I,retinal (epiretinal),epiretinal,historical prototype; implanted in humans,~early 2000s,Canonical early Argus I clinical papers: TBD,TBD,Predecessor to Argus II; include as separate platform family.
BTSD-VIS-RET-0003,EPIRET3 (wireless epiretinal implant),EPIRET3,retinal (epiretinal),epiretinal,research prototype; implanted/explanted in humans,<=2009,Roessler et al. 2009 (PMID:19420330),TBD,Wireless intraocular epiretinal device evaluated in a prospective trial.
BTSD-VIS-RET-0004,IRIS II / IRIS V2 Intelligent Retinal Implant System,"Pixium IRIS II, IRIS V2",retinal (epiretinal),epiretinal,human (research); development paused/unclear,~2016–2017,Trial-linked publications: TBD,NCT02670980,Epiretinal array platform; include as distinct from PRIMA photovoltaic.
BTSD-VIS-RET-0005,Alpha IMS subretinal implant,Retina Implant AG Alpha IMS,retinal (subretinal),subretinal (photodiode array),discontinued; implanted in humans,<=2013,Stingl et al. 2013 (PMC3619489); Stingl et al. 2015 (Vision Research),TBD,Wirelessly powered subretinal photodiode array; landmark subretinal platform.
BTSD-VIS-RET-0006,Alpha AMS subretinal implant,Retina Implant AG Alpha AMS,retinal (subretinal),subretinal,implanted in humans; later generation,<=2016–2017,Stingl et al. 2017 (PMC5572402); Edwards et al. 2018 (PMC5818267),NCT01024803; NCT02720640,Technically advanced successor to Alpha IMS; interim multicenter trial publications exist.
BTSD-VIS-RET-0007,PRIMA photovoltaic subretinal implant,"PRIMA System, Pixium Vision PRIMA; later Science Corp-associated",retinal (subretinal),subretinal (photovoltaic),implanted in humans; ongoing/expanded trials,~2018–2019,Muqit et al. 2023 (PMC10680875); Muqit et al. 2024 (Ophthalmology Science),NCT03333954; NCT03392324; NCT04676854,"Wireless photovoltaic central-vision restoration (e.g., GA/dry AMD)."
BTSD-VIS-RET-0008,Artificial Silicon Retina (ASR) microchip,Optobionics ASR,retinal (subretinal),subretinal,discontinued; implanted in humans,~2000,Chow et al. 2004 (PMID:15078662),TBD,Early subretinal microchip; distinct from later high-electrode-count systems.
BTSD-VIS-RET-0009,First-generation Suprachoroidal Retinal Prosthesis (BVA Phase I),Bionic Vision Australia prototype suprachoroidal,retinal (suprachoroidal),suprachoroidal space,human (Phase I proof-of-concept),2012–2013,Ayton et al. 2014 (PLOS ONE),NCT01603576,"Percutaneous connector, proof-of-concept suprachoroidal placement."
BTSD-VIS-RET-0010,Second-generation 44-channel Suprachoroidal Retinal Prosthesis,Bionic Vision Technologies 44-channel suprachoroidal; CERA/Bionics Institute-related,retinal (suprachoroidal),suprachoroidal,human (Phase II),~2018,Petoe et al. 2021 (PMC8479573),NCT03406416,44-channel second-gen suprachoroidal device with longer follow-up.
BTSD-VIS-ON-0001,MiViP / Optic Nerve Visual Prosthesis (ONVP) cuff electrode,"optic nerve cuff prosthesis, Veraart/Delbeke optic nerve prosthesis",optic nerve (cuff),optic nerve (intraorbital segment),implanted in humans (historical/rare),~1998 (noted in summaries),Veraart et al. early reports (2003) + follow-ups: TBD,TBD,Chronic self-sizing cuff with few contacts; reports of phosphenes + basic pattern recognition.
BTSD-VIS-ON-0002,Intraorbital optic nerve stimulating electrode (case report technique),Brelén optic nerve electrode,optic nerve (extra-/peri-neural),optic nerve (intraorbital),implanted in humans (case report),2006,Brelén et al. 2006 (PMID:16619664),TBD,Surgical approach for implanting a stimulating electrode around intraorbital optic nerve.
BTSD-VIS-ON-0003,AV-DONE (Artificial Vision by Direct Optic Nerve Electrode),"AV-DONE, direct optic disc/optic nerve electrode",optic nerve / optic disc (penetrating wire electrodes),optic disc / optic nerve head,implanted in humans (case report),~2008–2010,Quiroz-Mercado et al. AV-DONE reports: TBD,TBD,Direct wire electrodes implanted at optic disc; very rare approach.
